Reference Source,Extracted Business Rule,Gherkin Scenario,
Odoo Lot/Serial Number Tracking — stock.lot FEFO Enforcement,"When a product is configured with FEFO, the system must automatically select the lot with the nearest expiration date for outgoing moves.",Given SKU-D is configured with FEFOAnd Lot-001 has 50 units expiring on 2025-08-01 and Lot-002 has 100 units expiring on 2025-06-15When a delivery order is created for 10 unitsThen the system must assign 10 units from Lot-002 (nearest expiry),
Odoo stock.quant — Negative Stock Prevention (Strict Mode),"In strict mode, a delivery validation must be blocked if the quantity being moved exceeds the on-hand quantity for the specific location/lot combination.","Given Location ""Shelf-A1"" has 3 units and ""Shelf-B2"" has 7 unitsAnd a move requests 5 units from ""Shelf-A1"" specificallyWhen the operator attempts to validate the moveThen the system must raise a StockInsufficiencyError for ""Shelf-A1""And must not draw from Shelf-B2 automatically",??????
Odoo procurement.rule — Route Priority on Multi-Step Fulfillment,"When a product has multiple routes, the highest priority must be selected. Changing priority must retroactively affect only unconfirmed procurements.","Given SKU-G has routes ""Buy"" (priority 1) and ""Manufacture"" (priority 2)And an unconfirmed procurement existsWhen an admin changes ""Buy"" priority to 3Then the unconfirmed procurement must switch to ""Manufacture""And in-progress orders must remain unaffected",Do we need this ?
Odoo stock.move — Scrap Move vs. Return Move Accounting Treatment,"A product returned must increase stock with a journal entry to ""Stock Valuation"". A scrapped product must decrease stock with an entry to ""Scrapped Products"".","Given 2 units are scrapped and 2 units are returnedWhen both operations are validatedThen the scrap operation must debit ""Scrapped Products Expense""And the return operation must credit ""Stock Valuation""And the scrap must NOT produce a stock receipt entry",
Odoo stock.warehouse — Inter-Company Transfer Valuation (AVCO),"When stock is transferred between internal companies using AVCO, the receiving company must record goods at the sending company's current AVCO.",Given Company-Alpha has SKU-K (AVCO $30) and Company-Beta has SKU-K (AVCO $20)When 10 units are transferred from Alpha to BetaThen Company-Beta must record 10 units at $30.00/unit valuationAnd Company-Beta's new AVCO must be recalculated incorporating the $30 cost,No need of this business requirement
,,,
,"3. Checkout, Shipping & Payment Module",,
Magento ConcurrentCheckoutValidator / Payment Session Logic,Two concurrent checkout sessions for the same order ID must not be permitted to prevent double-payment.,Given Order-#1001 is in pending_payment stateAnd Browser-Tab-A has initiated a Stripe sessionWhen Browser-Tab-B simultaneously submits a payment requestThen Browser-Tab-B must receive HTTP 409 session conflict responseAnd the order state must not transition to processing twice,
Magento PaymentMethodManagement,"Payment methods must be dynamically filtered at checkout based on currency, shipping country, and cart totals without throwing exceptions.","Given ""Cash on Delivery"" is active only for country ""LK""And a customer's shipping address is set to ""India""When payment methods are fetchedThen ""Cash on Delivery"" must not appearAnd the response payload must not contain a 500 error",
Magento Address Validation — Tax Zone Recalculation,Changing the shipping address during checkout must trigger a full tax recalculation synchronously before the payment step is rendered.,"Given a cart session has ""California"" address (8.5% tax)When the customer changes the address to ""Oregon"" (0% tax)Then the cart tax amount must update to $0.00And the payment page must not render until totals are confirmed",
Magento Hosted Payment — 3DS Challenge Timeout,"If a OTP code expires without customer action, the order must revert to pending_payment and the payment intent must be cancelled.",Given Order-#4001 is pending_payment in the OTP screen When the  OTP window expires after 15 minutesThen a POST /cancel call must be made to the gatewayAnd the customer must be presented with a re-try payment option,
Magento Multi-Address Checkout — Split Order Tax Calculation,"In multi-address checkout, tax must be calculated independently per shipping address jurisdiction, not on the aggregate order total.","Given a multi-address order sends goods to ""Texas"" (8.25% tax) and ""Montana"" (0% tax)When checkout totals are computedThen the Texas shipment tax must be $8.25 and Montana $0.00And the total tax displayed must not be a blended rate",No need of this
Magento ShippingInformationManagement — Carrier Rate Caching Staleness,Shipping carrier rates cached must be invalidated if the cart contents change. Stale rates must never be applied without a fresh API call.,Given a checkout session has FedEx Ground rate of $8.99 cached And the customer navigates back and adds a third item Then the shipping cost should be updated,
Magento OrderManagement — Order Status Transition Guard,An order in complete state must not be transitionable back to processing or pending under any condition.,Given Order-#5001 is in complete stateWhen an API call attempts to set status to processingThen the API must return HTTP 422 STATE_TRANSITION_INVALIDAnd the database status must remain complete,
Magento — Invoice Auto-Generation on Full Online Payment,Orders placed with capture-immediately payment methods must auto-generate an invoice and transition to processing in an atomic transaction.,"Given an order uses a ""Capture on Order"" payment methodWhen the confirmation webhook is processedThen an invoice record must exist with state = paid And the order status must be processing And both records must share the same created_at timestamp",
,,,
,"4. Promotions, Discounts & Loyalty Module",,
Magento SalesRule / Odoo loyalty.program — Discount Stacking,"Percentage-based auto-rules must be applied first, then fixed-amount coupon codes applied to the post-discount subtotal.",Given an auto-rule applies 10% discount and a coupon applies $5.00 fixedWhen the cart totals are calculatedThen the 10% rule must be applied first yielding $90.00And the $5 coupon applied to $90 yielding a final subtotal of $85.00,
Magento SalesRule — Free Shipping Coupon + Carrier Interaction,"A ""Free Shipping"" coupon must zero out the shipping total but must not alter the carrier's raw rate record in the database.","Given a cart has a shipping rate of $12.00And a ""FREE_SHIP"" coupon is appliedWhen the order total is calculatedThen grand_total must reflect $0.00 shippingAnd the carrier rate record must still store $12.00","We have to concider this if we 
handel the shipping feature also"
Magento SalesRule — Coupon Usage Per Customer Limit,"A coupon with ""Uses per Customer = 1"" must enforce this across all order states, preventing reuse even if a prior order was refunded.","Given coupon ""SAVE10"" is configured with uses = 1And customer applied it on Order-#3001 which was refundedWhen the customer attempts to apply it on a new cartThen the coupon must be rejected with COUPON_USAGE_EXCEEDED",
Odoo loyalty.program — Reward Point Accrual on Tax,Loyalty points must be calculated on the tax-excluded subtotal. Tax-exempt products contribute fully; taxed products contribute base price only.,Given a program awards 1 point per $1.00 spent (tax-excluded)And a cart contains Product-X ($80 + $20 tax) and Product-Y ($50 tax-exempt)When the order is confirmedThen points accrued must be 130 And points must not be calculated on the $150 grand total,No need of this also
Magento SalesRule — Buy X Get Y Promotion,"A ""Buy X Get Y Free"" rule must apply the free item discount only to whole sets. Fractional free-item quantities must never be created.","Given a ""Buy 3 Get 1 Free"" rule is activeAnd a customer adds 5 units to the cartWhen cart totals are calculatedThen exactly 1 unit must receive a 100% discountAnd quote_item.discount_qty must be 1 not 1.66",
Odoo loyalty.program — Gift Card Partial Payment,"A gift card used as partial payment must only reduce the balance to zero and never generate a cash ""change"" balance.",Given a gift card has a balance of $75.00And an order total is $60.00When applied as full paymentThen the order must be paid with $60.00And the remaining $15.00 must stay on the gift card balance,
Magento SalesRule — Coupon Code Case Normalization,Coupon validation must be case-insensitive and strip leading/trailing whitespace. Internal whitespace must invalidate the lookup.,"Given coupon code ""SAVE10"" exists When input is "" save10 ""Then it must successfully apply When input is ""SA VE10""Then it must be rejected with COUPON_NOT_FOUND",No need
,,,
,5. User Accounts & B2B Module,,
Magento CustomerAccountManagement — Password Token Expiry,"A password reset token must be single-use. Using an already-consumed token must return an explicit ""token used"" error distinct from ""expired"".",Given a customer resets their password using token T1When T1 is submitted again 15 minutes laterThen the system must return TOKEN_ALREADY_CONSUMEDAnd must NOT return TOKEN_EXPIRED,
Magento B2B — Company Account Purchase Limit Enforcement,A B2B customer must be blocked from placing an order that would cause the company's outstanding balance to exceed its credit limit.,"Given Company-ABC has a credit limit of $10,000 and $9,200 outstandingAnd a B2B user has a cart totaling $900When the user submits the orderThen the order must be rejected with CREDIT_LIMIT_EXCEEDED",No need of this also
